11.0	10	9.83	7.5
6.5	6	1.47	1.0
13.0	12	10.19	12.0
5.5	3	7.50	7.5
4.0	5	4.68	4.0
5.5	6	3.50	5.5
2.0	3.5	2.01	3.0
3.0	2	3.94	3.0
8.0	9	5.48	8.0
6.0	9	11.11	4.0
3.5	1.5	7.50	2.5
2.5	2	5.00	3.5
9.5	9	16.39	9.0
6.0	5.5	0.59	4.0
6.0	6	1.88	7.8
8.0	9	8.03	8.0
0.0	2	1.50	0.0
2.0	6.5	3.50	6.5
1.0	1.5	4.24	3.8
0.0	0.01	0.03	0.0
2.0	1.5	1.01	2.0
1.0	1	5.50	0.0
3.5	7	3.00	7.0
0.0	0.25	0.01	0.5
3.0	9	6.47	2.0
0.3	0.5	2.59	1.0
1.0	2	4.79	0.0
0.8	1.5	3.56	0.0
1.0	2	6.82	2.0
1.0	1.5	5.98	4.0
1.0	1.5	5.00	2.0
0.0	0.00	0.00	0.0
