3.10	3.00	3.00	3.76	5.00
4.20	3.50	4.00	4.01	0.50
1.90	3.00	6.00	3.51	6.50
4.10	5.00	7.00	2.26	7.20
11.80	14.00	11.00	4.26	14.00
1.00	1.00	3.00	0.51	2.00
3.40	4.00	4.00	2.51	6.00
3.20	2.00	4.00	2.76	3.02
6.70	10.00	9.00	5.01	8.00
1.10	1.00	2.00	3.01	4.00
5.90	8.00	9.00	3.51	9.00
4.60	5.00	5.00	4.51	12.00
12.90	16.00	12.00	4.51	10.00
1.60	0.50	2.00	2.26	4.00
8.20	8.40	9.00	4.26	8.30
8.10	8.30	9.00	4.26	8.20
0.80	0.00	2.00	0.26	0.00
2.10	3.00	7.00	3.76	6.00
5.10	6.00	8.00	3.56	8.00
4.70	7.00	8.00	3.56	5.00
2.00	1.00	3.00	1.76	0.00
8.60	8.00	9.00	4.01	12.00
6.20	4.00	8.00	5.01	7.00
1.00	0.50	1.00	2.76	1.00
4.20	4.20	7.00	3.56	5.00
7.30	8.00	11.00	4.01	9.00
2.70	3.00	7.00	1.76	2.00
1.50	2.00	5.00	2.76	6.00
0.50	2.00	1.00	3.01	0.00
3.30	5.00	7.00	3.76	10.00
0.30	0.50	1.00	1.51	4.00
0.30	0.00	2.00	0.26	0.00
0.00	0.50	1.00	0.76	3.00
1.00	3.00	2.00	2.01	5.00
0.20	0.50	1.00	1.01	0.00
